Timestamp,CONSENT,Time Start,Gender,State / Federal Territory,Which module are you currently enrolled in?,AI usage frequency,AI used,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
4/22/2026 14:02,"Yes, I consent to participate in this study.",1:58:00 AM,Female,Sarawak,Sains Hayat,Often,Chatgpt and gemini,5,5,5,5,4,5,4,3,2,2,5,4,4,4,4,5,3,4,3,5,2,2,2,3,2,3,4,4,2,4
4/22/2026 14:02,"Yes, I consent to participate in this study.",1:53:00 AM,Female,Sarawak,Sains Hayat,Often,google lens ChatGPT deepseek,3,4,3,4,4,4,2,4,3,2,5,5,5,4,3,4,3,4,3,4,2,2,2,4,4,4,4,3,3,4
4/22/2026 14:04,"Yes, I consent to participate in this study.",2:01:00 PM,Female,Sarawak,Sains Hayat,Sometimes,Chat gpt,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/22/2026 14:04,"Yes, I consent to participate in this study.",2:00:00 PM,Male,Sarawak,Sains Hayat,Often,Understand the core ,5,5,5,5,5,5,5,5,1,1,4,4,5,3,5,4,5,3,4,5,2,1,2,3,3,2,1,2,2,1
4/22/2026 14:06,"Yes, I consent to participate in this study.",2:02:00 PM,Female,Sarawak,Sains Hayat,Often,chatgpt,4,5,3,3,5,3,2,3,1,1,5,5,3,3,3,5,5,3,3,3,1,3,3,3,3,3,3,3,3,3
4/22/2026 15:19,"Yes, I consent to participate in this study.",3:16:00 PM,Female,Sarawak,Sains Hayat,Very Often,For me to get an idea how to solve hard questions,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,4,1,1,1,5,5,5,5,5,5,5
4/22/2026 15:40,"Yes, I consent to participate in this study.",3:34:00 PM,Male,Sarawak,Sains Hayat,Often,chat gpt,5,5,5,5,4,5,5,3,5,3,5,5,3,3,5,3,5,4,5,3,5,5,5,4,5,5,4,4,5,4
4/22/2026 16:09,"Yes, I consent to participate in this study.",4:06:00 PM,Female,Sarawak,Sains Hayat,Sometimes,gemini,3,3,3,3,3,3,1,4,5,5,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5
4/22/2026 16:12,"Yes, I consent to participate in this study.",4:06:00 PM,Male,Sarawak,Sains Hayat,Very Often,Claude or chatgpt,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/22/2026 16:15,"Yes, I consent to participate in this study.",4:06:00 PM,Female,Sarawak,Sains Hayat,Sometimes,"google , gemini",4,5,4,4,4,2,4,2,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3
4/22/2026 16:17,"Yes, I consent to participate in this study.",4:08:00 PM,Female,Sarawak,Sains Hayat,Often,"deepseek , chatgpt",4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
4/22/2026 16:38,"Yes, I consent to participate in this study.",2:03:00 PM,Female,Sarawak,Sains Hayat,Sometimes,Google and Chatgpt ,3,4,3,4,4,3,2,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,4,4,4,4,4,4,4
4/22/2026 16:39,"Yes, I consent to participate in this study.",4:33:00 PM,Male,Sarawak,Sains Hayat,Often,Gemini,5,5,5,4,5,3,5,3,4,4,5,4,4,4,4,4,3,3,3,3,2,2,5,4,4,4,5,5,4,5
4/22/2026 16:39,"Yes, I consent to participate in this study.",4:37:00 PM,Male,Sarawak,Sains Hayat,Very Often,Gemini,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/22/2026 16:45,"Yes, I consent to participate in this study.",4:40:00 AM,Male,Sarawak,Sains Hayat,Often,Gauth and Chatgpt,3,4,4,4,4,3,4,3,3,3,4,4,2,4,4,4,4,3,4,3,2,2,3,4,4,4,4,4,4,4
4/22/2026 16:46,"Yes, I consent to participate in this study.",4:44:00 PM,Male,Sarawak,Sains Hayat,Often,"Chatgpt,gemini",4,4,4,4,4,4,4,4,4,4,4,5,4,3,5,4,3,5,4,4,4,5,4,3,4,3,4,3,4,4
4/22/2026 16:51,"Yes, I consent to participate in this study.",4:50:00 PM,Female,Sarawak,Sains Hayat,Often,Gemini,3,4,4,4,4,3,2,4,3,4,4,4,4,3,3,3,3,4,4,4,2,2,2,4,4,4,4,4,4,4
4/22/2026 17:09,"Yes, I consent to participate in this study.",4:10:00 PM,Female,Sarawak,Sains Hayat,Sometimes,chat gpt,4,3,4,3,4,4,4,3,3,3,3,4,5,3,4,3,4,3,4,3,3,4,4,3,3,3,4,4,5,5
4/22/2026 17:21,"Yes, I consent to participate in this study.",5:15:00 PM,Female,Sarawak,Sains Hayat,Often,Chat gpt,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4
4/22/2026 17:23,"Yes, I consent to participate in this study.",5:22:00 PM,Male,Sarawak,Sains Hayat,Often,"Gemini,ChatGPT,DeepSeek,Gauth",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,4,3,4,3
4/22/2026 17:33,"Yes, I consent to participate in this study.",5:05:00 PM,Female,Sarawak,Sains Hayat,Often,Google lens,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5
4/22/2026 17:47,"Yes, I consent to participate in this study.",2:05:00 PM,Female,Sarawak,Sains Hayat,Very Often,How to solve question ,5,5,5,5,5,5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1
4/22/2026 17:51,"Yes, I consent to participate in this study.",5:48:00 PM,Female,Sarawak,Sains Hayat,Often,Google ,4,4,4,4,4,2,2,2,1,2,4,4,4,4,4,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2
4/22/2026 17:52,"Yes, I consent to participate in this study.",5:50:00 PM,Female,Sarawak,Sains Fizikal,Sometimes,Chatgpt,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/22/2026 17:54,"Yes, I consent to participate in this study.",5:49:00 PM,Female,Sarawak,Sains Fizikal,Sometimes,gemini,3,4,2,5,5,3,1,1,4,3,4,4,2,1,2,1,4,4,5,5,1,1,2,3,4,1,3,2,3,4
4/22/2026 18:04,"Yes, I consent to participate in this study.",5:58:00 PM,Female,Sarawak,Sains Fizikal,Sometimes,Gemini,2,3,3,2,2,3,3,4,4,2,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3
4/22/2026 18:04,"Yes, I consent to participate in this study.",5:59:00 PM,Male,Sarawak,Sains Hayat,Sometimes,"GAUTH, Chat GPT",4,5,5,5,5,1,2,1,1,1,5,5,5,5,5,5,3,4,4,4,1,1,1,1,1,1,1,1,1,1
4/22/2026 18:18,"Yes, I consent to participate in this study.",6:14:00 PM,Male,Sarawak,Sains Hayat,Sometimes,Gemini,3,5,5,5,5,1,1,1,1,1,5,5,5,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
4/22/2026 18:32,"Yes, I consent to participate in this study.",6:30:00 PM,Male,Sarawak,Sains Fizikal,Very Often,"Chatgpt,deepseek,Gemini ",5,5,5,5,5,5,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/22/2026 19:10,"Yes, I consent to participate in this study.",6:50:00 PM,Female,Sarawak,Sains Hayat,Sometimes,Google Lense ,4,4,4,4,4,3,2,3,3,2,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,5,5,5,5,5
4/22/2026 19:18,"Yes, I consent to participate in this study.",7:15:00 PM,Female,Sarawak,Sains Fizikal,Very Often,gemini,5,5,5,5,5,1,1,1,1,1,5,5,5,3,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1
4/22/2026 19:19,"Yes, I consent to participate in this study.",7:15:00 PM,Male,Sarawak,Sains Fizikal,Often,"Gemini, chatgpt",3,4,3,2,3,3,3,4,4,4,5,4,3,3,3,3,3,3,3,3,5,2,2,5,5,5,5,5,5,5
4/22/2026 19:25,"Yes, I consent to participate in this study.",7:19:00 PM,Female,Sarawak,Sains Fizikal,Often,CHATGPT AND GEMINI,4,4,4,4,4,4,3,2,1,3,4,4,3,3,4,4,3,3,4,4,1,1,1,2,3,4,2,3,2,4
4/22/2026 19:25,"Yes, I consent to participate in this study.",7:20:00 PM,Female,Sarawak,Sains Fizikal,Often,chatgpt,5,4,5,5,5,1,1,2,1,2,5,5,5,5,5,5,5,5,5,5,2,1,3,3,2,2,4,2,2,4
4/22/2026 19:28,"Yes, I consent to participate in this study.",7:25:00 PM,Female,Sarawak,Sains Hayat,Often,Chatgpt n Deepseek,4,4,4,4,4,4,3,3,3,3,4,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
4/22/2026 19:31,"Yes, I consent to participate in this study.",7:26:00 PM,Female,Sarawak,Sains Hayat,Rarely,Chat GPT,3,4,3,3,3,3,5,4,5,5,3,1,1,1,2,3,2,3,5,5,4,4,5,5,5,5,5,5,5,5
4/22/2026 19:51,"Yes, I consent to participate in this study.",7:45:00 PM,Female,Sarawak,Sains Fizikal,Often,chatGPT ,5,5,5,5,5,3,1,3,3,3,5,5,3,5,5,5,5,5,5,4,3,1,4,1,1,1,5,5,1,5
4/22/2026 19:52,"Yes, I consent to participate in this study.",7:47:00 PM,Male,Sarawak,Sains Fizikal,Sometimes,Chatgpt and deepseek,3,2,1,3,3,2,1,4,1,1,3,3,3,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1
4/22/2026 20:06,"Yes, I consent to participate in this study.",7:56:00 PM,Male,Sarawak,Sains Hayat,Sometimes,"Gemini (Gemini AI, Notebook LM, Google Lens), ChatGPT, Grok, Anara",3,3,3,3,4,2,4,3,3,3,4,4,3,3,3,3,3,3,3,3,2,2,4,5,5,5,5,5,5,5
4/22/2026 20:12,"Yes, I consent to participate in this study.",8:06:00 PM,Female,Sarawak,Sains Fizikal,Sometimes,chatgpt,3,4,3,3,2,3,3,4,3,4,2,2,2,1,2,1,1,2,2,2,3,3,3,4,4,4,2,2,3,4
4/22/2026 22:30,"Yes, I consent to participate in this study.",4:20:00 PM,Female,Sarawak,Sains Hayat,Very Often,Gemini,3,5,5,3,3,3,5,5,5,5,5,5,5,5,5,3,3,5,3,3,1,1,1,1,1,1,4,3,2,1
4/23/2026 11:18,"Yes, I consent to participate in this study.",11:04:00 PM,Male,Sarawak,Sains Fizikal,Often,"Chatgpt, Gemini",5,5,5,5,5,5,4,2,2,5,5,5,5,5,5,5,4,5,4,5,2,2,1,2,3,3,3,4,5,4
4/23/2026 11:19,"Yes, I consent to participate in this study.",11:13:00 AM,Male,Sarawak,Sains Fizikal,Sometimes,Gemini,4,4,3,4,5,4,3,3,3,2,4,4,4,3,3,3,2,4,4,3,2,2,4,4,4,4,4,4,4,4
4/23/2026 11:20,"Yes, I consent to participate in this study.",11:15:00 AM,Male,Sarawak,Sains Fizikal,Sometimes,"Chatgpt, Blackbox AI, Gemini, Perplexity",5,5,5,5,5,3,3,2,2,2,4,5,5,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
4/23/2026 11:20,"Yes, I consent to participate in this study.",11:12:00 AM,Female,Sarawak,Sains Fizikal,Often,Chatgpt,3,4,3,2,2,2,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4
4/23/2026 11:30,"Yes, I consent to participate in this study.",11:21:00 AM,Male,Sarawak,Sains Fizikal,Often,ChatGPT,4,4,4,4,4,2,4,2,3,3,4,4,4,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2
4/23/2026 12:08,"Yes, I consent to participate in this study.",12:05:00 PM,Male,Sarawak,Sains Fizikal,Often,ChatGPT,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,2,2,2,4,2,2,2,2,2,2
4/23/2026 12:46,"Yes, I consent to participate in this study.",12:42:00 PM,Male,Sarawak,Sains Fizikal,Very Often,"Chatgot , gemini, copilot, claude",5,5,5,5,5,3,1,1,1,3,5,5,5,3,1,5,3,4,3,5,1,1,1,5,5,3,5,3,4,4
4/23/2026 14:05,"Yes, I consent to participate in this study.",2:02:00 AM,Male,Sarawak,Sains Fizikal,Often,Gemini ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
4/23/2026 14:22,"Yes, I consent to participate in this study.",2:13:00 PM,Female,Sarawak,Sains Fizikal,Often,Gemini,4,4,4,4,4,3,3,3,3,3,5,5,4,4,4,4,3,3,4,4,3,3,4,5,5,5,5,5,4,5
4/23/2026 15:52,"Yes, I consent to participate in this study.",3:20:00 PM,Female,Sarawak,Sains Fizikal,Often,"Google AI, Chat Gpt",5,5,5,5,4,5,5,4,4,4,5,4,5,4,4,4,4,5,5,4,3,3,5,5,4,4,4,4,4,5
4/23/2026 15:54,"Yes, I consent to participate in this study.",3:48:00 PM,Male,Sarawak,Sains Fizikal,Often,Gemini. To confirm my understanding ,4,4,3,4,4,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,3,4,4,3,3
4/23/2026 17:47,"Yes, I consent to participate in this study.",5:44:00 AM,Male,Sarawak,Sains Fizikal,Often,-,4,4,4,4,4,4,4,3,4,3,5,5,4,4,5,4,4,5,5,4,2,2,4,4,4,4,4,3,4,4
4/23/2026 21:36,"Yes, I consent to participate in this study.",9:33:00 PM,Female,Sarawak,Sains Fizikal,Sometimes,ChatGPT,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/23/2026 22:11,"Yes, I consent to participate in this study.",10:02:00 PM,Female,Sarawak,Sains Fizikal,Often,ChatGPT,4,5,4,5,4,4,5,3,4,3,5,4,4,4,4,5,4,3,3,3,3,3,2,5,5,5,3,4,4,5
